Question,Model,Metric,Original,Iter_1,Gain_1,Iter_2,Gain_2,Iter_3,Gain_3,Total_Gain
What are some unconventional ways to boost creativity?,alibaba,Accuracy,0.800,0.850,+6.2%,0.800,+0.0%,0.800,+0.0%,+0.0%
What are some unconventional ways to boost creativity?,alibaba,BLEU,0.000,0.007,+0.0%,0.012,+0.0%,0.007,+0.0%,+0.0%
What are some unconventional ways to boost creativity?,alibaba,Completeness,0.200,0.800,+300.0%,0.600,+200.0%,0.600,+200.0%,+200.0%
What are some unconventional ways to boost creativity?,alibaba,Groundedness,0.400,0.500,+25.0%,0.300,-25.0%,0.200,-50.0%,-50.0%
What are some unconventional ways to boost creativity?,alibaba,Overall,0.464,0.588,+26.7%,0.491,+5.8%,0.455,-1.9%,-1.9%
What are some unconventional ways to boost creativity?,alibaba,ROUGE,0.103,0.058,-43.7%,0.090,-12.6%,0.062,-39.8%,-39.8%
What are some unconventional ways to boost creativity?,alibaba,Relevance,0.720,0.744,+3.3%,0.654,-9.2%,0.588,-18.3%,-18.3%
What are some unconventional ways to boost creativity?,deepseek,Accuracy,0.700,0.600,-14.3%,0.700,+0.0%,0.200,-71.4%,-71.4%
What are some unconventional ways to boost creativity?,deepseek,BLEU,0.007,0.007,+0.0%,0.009,+28.6%,0.009,+28.6%,+28.6%
What are some unconventional ways to boost creativity?,deepseek,Completeness,0.600,0.400,-33.3%,0.200,-66.7%,0.200,-66.7%,-66.7%
What are some unconventional ways to boost creativity?,deepseek,Groundedness,0.400,0.200,-50.0%,0.000,-100.0%,0.000,-100.0%,-100.0%
What are some unconventional ways to boost creativity?,deepseek,Overall,0.501,0.389,-22.4%,0.343,-31.5%,0.225,-55.1%,-55.1%
What are some unconventional ways to boost creativity?,deepseek,ROUGE,0.057,0.053,-7.0%,0.042,-26.3%,0.031,-45.6%,-45.6%
What are some unconventional ways to boost creativity?,deepseek,Relevance,0.746,0.667,-10.6%,0.665,-10.9%,0.704,-5.6%,-5.6%
What are some unconventional ways to boost creativity?,llama,Accuracy,0.600,0.700,+16.7%,0.700,+16.7%,0.700,+16.7%,+16.7%
What are some unconventional ways to boost creativity?,llama,BLEU,0.003,0.024,+700.0%,0.013,+333.3%,0.008,+166.7%,+166.7%
What are some unconventional ways to boost creativity?,llama,Completeness,0.400,0.600,+50.0%,0.400,+0.0%,0.400,+0.0%,+0.0%
What are some unconventional ways to boost creativity?,llama,Groundedness,0.290,0.200,-31.0%,0.200,-31.0%,0.200,-31.0%,-31.0%
What are some unconventional ways to boost creativity?,llama,Overall,0.417,0.438,+5.0%,0.411,-1.4%,0.420,+0.7%,+0.7%
What are some unconventional ways to boost creativity?,llama,ROUGE,0.074,0.043,-41.9%,0.038,-48.6%,0.044,-40.5%,-40.5%
What are some unconventional ways to boost creativity?,llama,Relevance,0.706,0.633,-10.3%,0.654,-7.4%,0.697,-1.3%,-1.3%
What are some unconventional ways to boost creativity?,mixtral,Accuracy,0.900,0.000,-100.0%,0.000,-100.0%,0.000,-100.0%,-100.0%
What are some unconventional ways to boost creativity?,mixtral,BLEU,0.000,0.000,+0.0%,0.000,+0.0%,0.000,+0.0%,+0.0%
What are some unconventional ways to boost creativity?,mixtral,Completeness,0.600,0.000,-100.0%,0.000,-100.0%,0.000,-100.0%,-100.0%
What are some unconventional ways to boost creativity?,mixtral,Groundedness,0.400,0.000,-100.0%,0.000,-100.0%,0.000,-100.0%,-100.0%
What are some unconventional ways to boost creativity?,mixtral,Overall,0.535,0.000,-100.0%,0.000,-100.0%,0.000,-100.0%,-100.0%
What are some unconventional ways to boost creativity?,mixtral,ROUGE,0.076,0.000,-100.0%,0.000,-100.0%,0.000,-100.0%,-100.0%
What are some unconventional ways to boost creativity?,mixtral,Relevance,0.663,0.000,-100.0%,0.000,-100.0%,0.000,-100.0%,-100.0%
